y,z,x,r,g,b
11.0,0.5,0.0,0,255,0
11.0,0.75,0.0,0,255,0
11.0,1.0,0.0,0,255,0
11.0,1.25,0.0,0,255,0
11.0,1.5,0.0,0,255,0
10.75,0.5,0.0,0,255,0
10.75,0.75,0.0,0,255,0
10.75,1.0,0.0,0,255,0
10.75,1.25,0.0,0,255,0
10.75,1.5,0.0,0,255,0
10.5,0.75,0.0,0,255,0
10.5,1.0,0.0,0,255,0
10.5,1.25,0.0,0,255,0
10.5,1.5,0.0,0,255,0
10.25,0.5,0.0,0,255,0
10.25,0.75,0.0,0,255,0
10.25,1.0,0.0,0,255,0
10.25,1.25,0.0,0,255,0
10.25,1.5,0.0,0,255,0
10.0,0.5,0.0,0,255,0
10.0,0.75,0.0,0,255,0
10.0,1.0,0.0,0,255,0
10.0,1.25,0.0,0,255,0
10.0,1.5,0.0,0,255,0
9.75,0.75,0.0,0,255,0
9.75,1.0,0.0,0,255,0
9.75,1.25,0.0,0,255,0
9.75,1.5,0.0,0,255,0
9.5,0.75,0.0,0,255,0
9.5,1.0,0.0,0,255,0
9.5,1.25,0.0,0,255,0
9.5,1.5,0.0,0,255,0
9.25,1.0,0.0,0,255,0
9.25,1.25,0.0,0,255,0
9.25,1.5,0.0,0,255,0
9.0,1.25,0.0,0,255,0
9.0,1.5,0.0,0,255,0
8.75,1.25,0.0,0,255,0
8.75,1.5,0.0,0,255,0
8.5,1.25,0.0,0,255,0
8.5,1.5,0.0,0,255,0
8.25,-1.25,0.0,0,255,0
8.25,-1.0,0.0,0,255,0
8.25,-0.75,0.0,0,255,0
8.25,1.25,0.0,0,255,0
8.25,1.5,0.0,0,255,0
8.0,-1.5,0.0,0,255,0
8.0,-1.25,0.0,0,255,0
8.0,-1.0,0.0,0,255,0
8.0,-0.75,0.0,0,255,0
8.0,-0.5,0.0,0,255,0
8.0,-0.25,0.0,0,255,0
8.0,1.5,0.0,0,255,0
7.75,-1.5,0.0,0,255,0
7.75,-1.25,0.0,0,255,0
7.75,-1.0,0.0,0,255,0
7.75,-0.75,0.0,0,255,0
7.75,-0.5,0.0,0,255,0
7.75,-0.25,0.0,0,255,0
7.75,0.0,0.0,0,255,0
7.75,0.25,0.0,0,255,0
7.5,-1.5,0.0,0,255,0
7.5,-1.25,0.0,0,255,0
7.5,-1.0,0.0,0,255,0
7.5,-0.75,0.0,0,255,0
7.5,-0.5,0.0,0,255,0
7.5,-0.25,0.0,0,255,0
7.5,0.0,0.0,0,255,0
7.5,0.25,0.0,0,255,0
7.5,0.5,0.0,0,255,0
7.25,-1.75,0.0,0,255,0
7.25,-1.5,0.0,0,255,0
7.25,-1.25,0.0,0,255,0
7.25,-1.0,0.0,0,255,0
7.25,-0.75,0.0,0,255,0
7.25,-0.5,0.0,0,255,0
7.25,-0.25,0.0,0,255,0
7.25,0.0,0.0,0,255,0
7.25,0.25,0.0,0,255,0
7.25,0.5,0.0,0,255,0
7.0,-2.0,0.0,0,255,0
7.0,-1.75,0.0,0,255,0
7.0,-1.5,0.0,0,255,0
7.0,-1.25,0.0,0,255,0
7.0,-1.0,0.0,0,255,0
7.0,-0.75,0.0,0,255,0
7.0,-0.5,0.0,0,255,0
7.0,-0.25,0.0,0,255,0
7.0,0.0,0.0,0,255,0
7.0,0.25,0.0,0,255,0
6.75,-2.0,0.0,0,255,0
6.75,-1.75,0.0,0,255,0
6.75,-1.5,0.0,0,255,0
6.75,-1.25,0.0,0,255,0
6.75,-1.0,0.0,0,255,0
6.75,-0.75,0.0,0,255,0
6.75,-0.5,0.0,0,255,0
6.75,-0.25,0.0,0,255,0
6.75,0.0,0.0,0,255,0
6.75,0.25,0.0,0,255,0
